pay_type,paperless_billing,payment_method,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target,type_serves,lifetime,renewals_count,months_until_payment,monthly_diff_percent,num_options
One year,Yes,Bank transfer (automatic),109.4,5467.81,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,1,combo_optic,1492,4,11,2.0,6
One year,No,Credit card (automatic),50.3,3004.92,No,No,Yes,No,No,No,Male,0,Yes,No,No,0,combo_dsl,1767,4,2,3.0,1
Month-to-month,Yes,Bank transfer (automatic),71.4,1188.1,No,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,0,combo_dsl,488,16,0,4.01,4
Two year,Yes,Electronic check,116.0,8004.0,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,2102,2,3,0.0,7
Month-to-month,Yes,Electronic check,19.85,100.24,No,No,No,No,No,No,Male,0,No,No,No,0,phone,153,5,0,1.01,0
Month-to-month,Yes,Electronic check,99.75,402.99,No,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,0,combo_optic,123,4,0,1.0,4
Month-to-month,Yes,Mailed check,93.95,1879.0,No,Yes,No,No,Yes,Yes,Male,1,Yes,Yes,No,1,combo_optic,610,20,0,0.0,3
Month-to-month,Yes,Bank transfer (automatic),90.8,1510.91,No,No,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,0,combo_optic,488,16,0,4.0,3
One year,No,Electronic check,84.35,2530.5,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1,combo_dsl,913,2,6,0.0,6
Two year,No,Bank transfer (automatic),58.25,1975.84,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,1,internet_dsl,976,1,16,5.99,5
Month-to-month,No,Electronic check,107.55,3549.15,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0,combo_optic,1006,33,0,0.0,5
Month-to-month,Yes,Bank transfer (automatic),19.95,205.49,No,No,No,No,No,No,Female,0,Yes,No,No,0,phone,306,10,0,3.01,0
Month-to-month,Yes,Electronic check,111.2,2668.8,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,730,24,0,0.0,6
Month-to-month,No,Bank transfer (automatic),40.2,321.6,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,1,internet_dsl,242,8,0,0.0,3
Month-to-month,Yes,Credit card (automatic),85.8,2297.72,Yes,No,No,No,Yes,No,Female,1,No,No,No,0,combo_optic,792,26,0,3.0,2
One year,Yes,Mailed check,35.4,1947.0,Yes,No,No,Yes,No,No,Male,0,No,No,No,0,internet_dsl,1523,4,10,10.0,2
Month-to-month,Yes,Electronic check,73.85,717.82,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,276,9,0,8.0,1
Two year,No,Mailed check,88.1,5696.55,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,1857,2,11,6.0,7
Month-to-month,Yes,Electronic check,101.35,2079.7,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0,combo_optic,580,19,0,8.0,4
Month-to-month,No,Mailed check,45.8,1262.25,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,0,internet_dsl,792,26,0,6.0,3
Month-to-month,Yes,Electronic check,94.65,7291.84,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,No,0,combo_optic,2191,72,0,7.0,3
One year,Yes,Bank transfer (automatic),20.5,965.14,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,1340,3,4,7.02,0
Month-to-month,No,Credit card (automatic),89.4,2235.0,No,Yes,No,No,No,Yes,Male,0,No,No,Yes,1,combo_optic,762,25,0,0.0,3
Month-to-month,Yes,Electronic check,86.25,345.0,Yes,Yes,No,Yes,No,No,Female,0,No,No,No,0,combo_optic,123,4,0,0.0,3
One year,No,Bank transfer (automatic),74.85,2544.9,No,No,Yes,Yes,Yes,Yes,Female,1,No,No,No,1,combo_dsl,1034,2,2,0.0,4
Month-to-month,Yes,Bank transfer (automatic),89.75,1359.71,No,Yes,No,No,Yes,No,Female,0,No,No,Yes,0,combo_optic,457,15,0,1.0,3
Two year,Yes,Electronic check,109.95,7586.55,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,No,Yes,0,combo_optic,2102,2,3,0.0,6
Month-to-month,Yes,Mailed check,80.2,343.26,No,Yes,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,123,4,0,7.01,2
Month-to-month,No,Mailed check,19.85,119.1,No,No,No,No,No,No,Female,0,No,No,No,0,phone,184,6,0,0.0,0
Month-to-month,No,Electronic check,90.35,180.7,Yes,Yes,No,No,Yes,No,Female,0,Yes,No,No,0,combo_optic,62,2,0,0.0,3
Month-to-month,Yes,Bank transfer (automatic),86.45,2544.22,No,Yes,Yes,No,No,No,Female,1,No,No,Yes,0,combo_optic,822,27,0,9.0,3
Month-to-month,Yes,Electronic check,20.3,527.8,No,No,No,No,No,No,Male,0,No,No,No,0,phone,792,26,0,0.0,0
Month-to-month,Yes,Electronic check,101.25,4067.21,No,No,No,Yes,Yes,Yes,Female,1,Yes,No,Yes,0,combo_optic,1187,39,0,3.0,4
Month-to-month,Yes,Bank transfer (automatic),94.7,2856.15,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,883,29,0,4.0,3
Month-to-month,No,Mailed check,70.9,212.7,No,No,No,No,No,No,Female,0,No,No,No,0,combo_optic,92,3,0,0.0,0
Month-to-month,Yes,Electronic check,54.2,1138.2,Yes,No,No,Yes,No,No,Male,0,Yes,No,No,1,combo_dsl,638,21,0,0.0,2
Two year,Yes,Electronic check,114.9,8851.9,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0,combo_optic,2191,3,0,7.0,7
Two year,Yes,Bank transfer (automatic),19.55,483.28,No,No,No,No,No,No,Female,0,No,No,No,0,phone,730,1,0,3.02,0
Month-to-month,Yes,Electronic check,86.85,1650.15,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,0,combo_optic,580,19,0,0.0,2
Two year,No,Credit card (automatic),25.35,1835.85,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0,phone,2163,2,1,2.01,1
Month-to-month,Yes,Bank transfer (automatic),109.9,3844.3,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,No,Yes,0,combo_optic,1006,33,0,6.0,6
Month-to-month,No,Mailed check,19.95,60.45,No,No,No,No,No,No,Female,0,No,No,No,0,phone,92,3,0,1.0,0
Month-to-month,No,Electronic check,87.2,4098.4,No,Yes,No,No,Yes,No,Male,0,Yes,Yes,Yes,0,combo_optic,1432,47,0,0.0,3
Two year,No,Mailed check,108.15,6772.35,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0,combo_optic,1888,2,10,1.0,6
One year,Yes,Bank transfer (automatic),116.3,8422.45,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,2163,5,1,2.0,7
Month-to-month,Yes,Electronic check,89.0,623.0,No,No,No,No,Yes,Yes,Male,1,Yes,No,No,0,combo_optic,215,7,0,0.0,2
Month-to-month,No,Mailed check,74.4,2008.8,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0,combo_optic,822,27,0,0.0,1
Month-to-month,No,Mailed check,20.05,42.11,No,No,No,No,No,No,Male,0,No,No,No,0,phone,62,2,0,5.04,0
Two year,No,Bank transfer (automatic),35.05,893.77,Yes,No,No,Yes,No,No,Female,0,No,Yes,No,0,internet_dsl,761,1,23,2.0,2
Month-to-month,Yes,Electronic check,74.75,2287.35,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0,combo_dsl,914,30,0,1.99,4
One year,Yes,Credit card (automatic),105.5,3059.5,Yes,Yes,No,Yes,Yes,Yes,Female,1,Yes,No,No,1,combo_optic,882,2,7,0.0,5
Month-to-month,Yes,Electronic check,85.25,937.75,No,No,No,No,No,Yes,Male,0,Yes,No,Yes,0,combo_optic,337,11,0,0.0,2
Month-to-month,Yes,Credit card (automatic),75.2,730.94,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,276,9,0,8.01,1
Month-to-month,Yes,Electronic check,84.35,674.8,No,No,No,No,No,Yes,Female,1,Yes,No,Yes,0,combo_optic,245,8,0,0.0,2
One year,No,Bank transfer (automatic),84.45,2786.85,Yes,No,Yes,No,No,No,Female,0,Yes,Yes,Yes,1,combo_optic,1007,2,3,0.0,3
Two year,Yes,Bank transfer (automatic),102.4,7299.07,Yes,No,No,No,Yes,Yes,Female,1,No,No,Yes,0,combo_optic,2010,2,6,8.0,4
One year,No,Credit card (automatic),115.55,2592.94,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,1,combo_optic,669,1,2,2.0,7
One year,No,Bank transfer (automatic),25.3,733.7,No,No,No,No,No,No,Male,0,No,No,Yes,0,phone,883,2,7,0.0,1
Two year,Yes,Mailed check,19.25,673.37,No,No,No,No,No,No,Female,0,Yes,Yes,No,1,phone,1005,1,15,6.03,0
One year,Yes,Mailed check,114.65,6376.83,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,1645,4,6,3.0,7
Month-to-month,No,Electronic check,105.1,1911.77,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,1,combo_optic,518,17,0,7.0,5
Month-to-month,No,Bank transfer (automatic),19.4,256.08,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,365,12,0,10.0,0
Month-to-month,Yes,Electronic check,50.35,1196.32,No,Yes,No,No,Yes,Yes,Female,0,No,No,No,0,internet_dsl,671,22,0,8.0,3
Two year,No,Bank transfer (automatic),57.8,3185.94,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,1,internet_dsl,1614,2,19,4.0,5
Month-to-month,Yes,Credit card (automatic),84.3,2706.03,Yes,Yes,Yes,No,No,No,Male,0,No,No,No,0,combo_optic,914,30,0,7.0,3
One year,No,Bank transfer (automatic),100.55,7638.78,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_optic,2163,5,1,7.0,4
One year,No,Credit card (automatic),19.8,594.0,No,No,No,No,No,No,Male,0,Yes,No,No,0,phone,914,2,6,0.0,0
Month-to-month,Yes,Bank transfer (automatic),84.8,593.6,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,Yes,0,combo_optic,215,7,0,0.0,3
Month-to-month,Yes,Electronic check,85.85,467.88,No,No,Yes,No,No,Yes,Male,0,No,No,No,0,combo_optic,153,5,0,9.0,2
One year,Yes,Bank transfer (automatic),19.95,199.5,No,No,No,No,No,No,Male,0,No,Yes,No,0,phone,306,0,2,0.0,0
Month-to-month,No,Electronic check,75.35,301.4,Yes,No,No,No,No,No,Male,1,No,No,No,0,combo_optic,123,4,0,0.0,1
Month-to-month,Yes,Credit card (automatic),48.8,2537.6,Yes,No,No,No,Yes,Yes,Male,1,No,No,No,0,internet_dsl,1584,52,0,0.0,3
Month-to-month,No,Electronic check,47.15,428.59,No,No,No,No,No,No,Male,0,No,No,Yes,0,combo_dsl,276,9,0,1.0,1
Two year,No,Mailed check,20.15,177.32,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,245,0,16,9.98,0
Month-to-month,Yes,Electronic check,44.3,88.6,No,No,No,No,No,No,Female,1,No,No,No,0,combo_dsl,62,2,0,0.0,0
Month-to-month,No,Electronic check,84.3,263.02,No,Yes,No,No,No,Yes,Male,0,No,No,No,0,combo_optic,92,3,0,4.0,2
Month-to-month,No,Electronic check,59.55,1131.45,No,No,Yes,Yes,No,No,Male,0,No,No,Yes,0,combo_dsl,580,19,0,0.0,3
Two year,No,Bank transfer (automatic),69.65,5115.1,Yes,Yes,Yes,Yes,No,No,Male,0,No,No,Yes,0,combo_dsl,2191,3,0,2.0,5
One year,No,Bank transfer (automatic),36.1,2410.76,Yes,No,No,Yes,No,No,Male,1,Yes,No,No,0,internet_dsl,1918,5,9,6.01,2
Two year,Yes,Bank transfer (automatic),56.6,2078.35,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,No,No,1,internet_dsl,1096,1,0,2.0,5
Month-to-month,Yes,Electronic check,75.9,227.7,No,No,No,Yes,No,No,Male,0,No,No,No,0,combo_optic,92,3,0,0.0,1
One year,Yes,Bank transfer (automatic),79.2,4752.0,No,No,Yes,No,No,No,Female,0,No,No,Yes,0,combo_optic,1826,5,0,0.0,2
One year,No,Credit card (automatic),45.0,2224.8,Yes,No,Yes,No,No,Yes,Female,0,Yes,Yes,No,0,internet_dsl,1461,4,0,3.0,3
Month-to-month,Yes,Credit card (automatic),85.55,171.1,No,No,Yes,No,Yes,No,Female,0,No,No,No,0,combo_optic,62,2,0,0.0,2
Month-to-month,Yes,Electronic check,93.35,1680.3,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,549,18,0,0.0,3
Month-to-month,Yes,Bank transfer (automatic),109.65,5482.5,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,1523,50,0,0.0,6
Two year,No,Credit card (automatic),89.7,6716.74,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_dsl,2191,3,0,4.0,7
Month-to-month,No,Mailed check,84.25,2359.0,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,1,combo_optic,852,28,0,0.0,3
Two year,No,Bank transfer (automatic),92.65,7204.46,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,2191,3,0,8.0,7
Month-to-month,No,Mailed check,19.7,19.7,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,31,1,0,0.0,0
Month-to-month,Yes,Electronic check,50.1,54.61,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_dsl,31,1,0,9.0,1
Two year,Yes,Bank transfer (automatic),92.45,6194.15,Yes,Yes,No,Yes,Yes,No,Female,1,No,No,No,0,combo_optic,2041,2,5,0.0,4
Two year,No,Electronic check,79.65,3861.43,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,1461,2,0,1.0,5
Two year,Yes,Electronic check,109.9,7912.8,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0,combo_optic,2191,3,0,0.0,6
One year,Yes,Credit card (automatic),81.4,2201.06,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,1,combo_dsl,792,2,10,4.0,6
One year,No,Credit card (automatic),50.55,3657.8,No,Yes,No,No,No,No,Female,0,Yes,Yes,No,0,combo_dsl,2041,5,5,7.99,1
Month-to-month,Yes,Electronic check,81.05,573.02,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,1,combo_optic,214,7,0,1.0,1
Month-to-month,No,Bank transfer (automatic),62.45,1998.4,No,Yes,Yes,No,No,No,Female,0,Yes,Yes,Yes,0,combo_dsl,975,32,0,0.0,3
Month-to-month,Yes,Bank transfer (automatic),75.2,2401.14,Yes,No,No,No,No,No,Female,1,Yes,No,No,0,combo_optic,945,31,0,3.01,1
Month-to-month,No,Electronic check,90.4,276.62,No,Yes,Yes,No,No,Yes,Male,0,No,No,No,0,combo_optic,92,3,0,2.0,3
Month-to-month,Yes,Electronic check,85.65,560.15,No,No,No,No,Yes,No,Male,0,No,No,Yes,0,combo_optic,184,6,0,9.0,2
Month-to-month,Yes,Mailed check,72.9,947.7,No,No,Yes,Yes,Yes,Yes,Female,0,No,Yes,No,0,combo_dsl,396,13,0,0.0,4
Two year,Yes,Credit card (automatic),70.5,3771.75,Yes,No,No,Yes,Yes,No,Male,0,Yes,Yes,Yes,0,combo_dsl,1523,2,22,7.01,4
Two year,No,Bank transfer (automatic),20.1,1427.1,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,2163,2,1,0.0,0
Month-to-month,Yes,Electronic check,74.9,2546.6,No,No,No,No,No,No,Male,1,Yes,No,Yes,0,combo_optic,1036,34,0,0.0,1
Month-to-month,No,Bank transfer (automatic),100.7,1611.2,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,0,combo_optic,488,16,0,0.0,4
Two year,Yes,Bank transfer (automatic),105.65,228.2,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,1,combo_optic,62,0,22,8.0,5
Two year,Yes,Credit card (automatic),114.3,5520.69,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,1,combo_optic,1399,1,2,5.0,7
Month-to-month,No,Electronic check,19.75,98.75,No,No,No,No,No,No,Female,0,No,No,No,0,phone,153,5,0,0.0,0
One year,No,Mailed check,24.35,610.45,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0,phone,702,1,1,8.99,1
Two year,No,Bank transfer (automatic),69.85,5029.2,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,0,combo_dsl,2191,3,0,0.0,5
Month-to-month,No,Mailed check,58.85,424.31,Yes,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,0,internet_dsl,215,7,0,3.01,5
Month-to-month,Yes,Electronic check,54.4,443.9,No,No,No,No,Yes,No,Male,0,Yes,Yes,No,0,combo_dsl,245,8,0,2.0,1
Two year,No,Bank transfer (automatic),50.55,1718.7,No,No,No,Yes,Yes,Yes,Male,0,Yes,Yes,No,1,internet_dsl,1035,1,14,0.0,3
Month-to-month,No,Mailed check,21.05,181.87,No,No,No,No,No,No,Male,0,No,No,No,0,phone,245,8,0,7.98,0
Month-to-month,Yes,Bank transfer (automatic),103.7,5496.1,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,1614,53,0,0.0,5
Two year,Yes,Bank transfer (automatic),19.95,1269.42,No,No,No,No,No,No,Male,0,Yes,No,No,0,phone,1918,2,9,1.0,0
Month-to-month,Yes,Mailed check,29.3,383.24,No,No,No,Yes,No,No,Female,1,Yes,Yes,No,0,internet_dsl,365,12,0,9.01,1
Month-to-month,Yes,Credit card (automatic),54.75,1478.25,Yes,Yes,No,No,No,No,Male,0,Yes,Yes,No,0,combo_dsl,822,27,0,0.0,2
Month-to-month,No,Electronic check,60.55,2331.18,Yes,Yes,Yes,No,No,No,Female,0,No,No,No,0,combo_dsl,1067,35,0,10.01,3
Month-to-month,Yes,Electronic check,86.2,4568.6,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,1,combo_dsl,1614,53,0,0.0,6
Month-to-month,Yes,Electronic check,95.45,286.35,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,92,3,0,0.0,3
